,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
46074,76274.0,-0.902107083997885,1.39392313597187,1.3148655096614,1.26370882045482,-0.249001492210306,-0.0491661893383101,0.790471850408174,0.0654392699339231,0.0426204593305743,0.482092398439795,-0.264487088356702,0.310293925940427,-0.129571502865829,-0.126865700992527,0.222500139306333,-1.34127585482418,0.719173071908578,-0.830253478965917,0.53864249382922,0.34105605814046,-0.0912914209794208,0.296744745428323,-0.102264256705022,0.410972429846205,-0.0288050344402119,-0.232499762119671,0.675429176669052,0.316718859052378,49.55,0
163444,167063.0,2.06060868574107,-0.0795486242423925,-1.49364653787891,0.144177996433516,0.235361591716868,-0.776086661690849,0.13708326659271,-0.22042869439466,0.394162145736719,0.188819162024172,0.550302936480656,0.742762191182582,-0.0983620641679034,0.68860822327907,0.0929930536494933,0.126488588411835,-0.917334872114085,0.606070679125672,0.237656074358628,-0.225664375020283,0.264825473802996,0.886250559632613,-0.0712104072013862,-0.459676778157041,0.295414175185565,-0.09824994918488,-0.0254796348032819,-0.0736437132594409,3.59,0
46224,135519.0,2.08805095867418,-0.0961396429324426,-1.65170958956489,0.0075548262906686,0.652625958288787,-0.107292472145497,0.142088468416638,-0.127503435642955,0.522607086908624,0.0559443665255591,-0.209137661870839,0.997411015347327,0.559811252569291,0.381561159952778,-0.472168036537737,0.230947178220055,-1.07344036772108,0.231957638903596,0.980536498307263,-0.15834204981045,-0.285964390280458,-0.685962442576449,0.101712343609738,-1.40857636339339,0.0481160814356356,-0.520445220036871,-0.0146079503101051,-0.0714044778386931,9.99,0
2079,72327.0,-4.19873460983989,0.194120636801706,-3.91758567828042,3.92074784640417,-1.87548574659158,-2.11893292738694,-3.61444510993627,1.68788446543007,-2.18987113590881,-4.68423332514029,4.37690666362302,-5.00744082816051,-1.30474507803596,-6.19247526385522,1.00240426741391,-3.31693430074553,-6.18883415213498,-1.04041264854272,1.23304434947994,1.0033504305956,0.801312235949018,-0.183000576489906,-0.440386862411508,0.292539411877521,-0.144967421927777,-0.251743981877142,1.24941367428483,-0.131524643545312,238.9,1
153436,51219.0,-1.26014527461525,1.07369286349734,-0.460687759242283,-1.43532009948679,2.4414571207961,3.77233781748016,-1.00749465131867,-2.249993217275,0.015959108571872,0.518767430123754,0.0675116525895952,-0.221752759788578,-0.19231276640264,0.129257762684175,1.65525412241115,0.0345811593614852,-0.54404372727225,0.17373420556165,1.36759964031593,1.11349622475615,-1.46379033086719,0.167505671909459,0.018346429856929,1.05457240967009,-0.538584198224494,0.949147848906178,-0.300399551449829,-0.154889661061002,0.77,0
9340,43369.0,-3.36531852073793,2.42650326490524,-3.75222652688429,0.27601659835291,-2.30587029698066,-1.9615783188747,-3.029283444673,-1.67446174770883,0.183961286375875,-4.98092843827312,3.65788166668826,-6.40982235504524,-1.0873102947816,-8.50943318717532,1.43257178733402,-5.36989001074152,-9.06907940021057,-2.81980659631422,0.874542948076265,-0.0368373256714411,2.07000816413804,-0.512625728150551,-0.248501692422131,0.126549624264963,0.104166256940212,-1.05599732614735,-1.20016496678239,-1.01206584314534,88.0,1
101658,32686.0,0.287952771527529,1.72873464521162,-1.65217304572257,3.81354418795523,-1.09092715391318,-0.984744665624589,-2.20231792699069,0.555087932252191,-2.03389204830362,-2.73415555507211,2.36843367282003,-3.65680265130054,-0.169534683304731,-4.74441333023745,0.765192829294304,-2.47951355643698,-4.93111196829858,-2.54740252736051,-0.90268980289448,0.265250210286539,0.262201510185118,-0.633527564205563,0.0928910102678184,0.187612655556196,0.368708354409639,-0.132474029018571,0.57656075692479,0.309842705461879,0.0,1
77431,36673.0,1.11648991629144,0.0974113669919813,0.789653826229902,1.09809444266655,-0.467712536880641,-0.171034712048202,-0.247600908481526,0.0270779724228339,0.245041941093114,-0.0895066417422307,-0.129065410616487,0.524988098459605,0.568886315367309,0.0679762760813895,1.44503345220956,0.0807970145764893,-0.338978164961935,-0.297164743094163,-0.940249396508117,-0.0777563799784847,0.180045807492974,0.576582360775574,-0.0803312604163187,0.104193691980013,0.467370561878963,-0.271201929246899,0.0586742287035179,0.0333167876097426,30.24,0
21007,93860.0,-10.6323749061596,7.25193622855414,-17.6810718207918,8.20414440620562,-10.1665907519072,-4.51034377036334,-12.9816061559658,6.78358879797499,-4.65932958355558,-14.9246547735487,8.38914233451929,-16.4655039422141,0.33851695978655,-14.224403603167,0.556584472572111,-11.683998043525,-15.8416159780561,-5.75319975278369,3.81304079276336,-0.810146481561289,2.71535704420309,0.695602689761576,-1.13812206664164,0.459442241911828,0.386337323495895,0.522438449202614,-1.41660373652915,-0.488307035713995,188.52,1
123154,152783.0,1.99977491334712,-0.383788821830574,-0.464813177712261,0.366304500200218,-0.419982227246799,-0.070944510225357,-0.624941619723333,0.0154267565408143,1.39385542174352,-0.18758128787297,-1.10246846660207,0.646962398788282,0.680722914301933,-0.326354192938498,0.477324170276351,0.136308446703225,-0.625386641671191,0.23658235351121,-0.147943726684352,-0.151802608319172,0.1805445292307,0.765637716943136,0.123501280816476,0.61431148281182,-0.0335921785237842,-0.238363105180601,0.0398317044625458,-0.0301875813647367,9.99,0
157362,62467.0,-5.34466537543542,-0.285760408166142,-3.83561578178611,5.33704802681048,-7.60990870021268,3.8746680317393,1.28962992438915,0.201741916806601,-3.00353243733788,-3.9905513318108,4.98601380361468,-6.11638322304304,0.0423244061770454,-6.04339314434942,1.82140103177852,-4.7454624675489,-10.0756455907271,-3.6045960155148,1.43529381015392,-1.56216235780532,0.276010822180054,1.34204455689584,-1.01657869464831,-0.0713612973880671,-0.335869334726878,0.441044176004645,1.52061262049821,-1.11593680318009,1402.16,1
162911,83934.0,-0.433222446537596,2.42837911824053,-3.99645439738162,4.87129854095106,-1.7963078560437,-0.586867589935922,-4.65454261848565,1.28522967071729,-2.74353881589949,-5.63894131284807,4.3437434980468,-6.65573446968769,-0.293108662762872,-9.50514082568186,-1.39614905931922,-4.85032315924603,-10.0062528282393,-2.78959811229388,0.98258385892977,0.745029329890697,0.713558821786954,-0.408953595906886,-0.320889532152165,-0.804230275167984,0.962851575679124,0.199558010666927,1.09453318209808,0.541147567735467,1.0,1
92919,133515.0,-2.46109530749852,2.76399204704088,-2.62136895998852,-0.093502440168731,-0.808907174439548,-1.56176196699285,-0.794107755680409,1.65412259921734,-0.415448332311664,-1.04651909113367,-1.05220842844736,1.02148427793315,1.18835964775832,0.303627384064157,0.512828285697714,0.484585743092089,1.20832831015371,0.645671645971109,-0.266375506688855,-0.531558974808319,0.500431811091272,1.03465097797236,0.200099907275509,-0.133870971689964,-0.155014521051247,-0.174312070913936,-0.765498552266012,-0.0766349167551255,1.41,0
100583,75978.0,-5.14072311805277,3.56875123426923,-5.89624545735196,4.16471993013258,-4.09119263947502,-1.98996029061886,-5.47243601705169,2.42282066166249,-2.90973525837833,-6.28780335064533,3.70431215185119,-7.26754953396678,0.329269938095914,-8.45897495556967,1.35448720090917,-5.9762209822112,-10.5760149147501,-3.52516124688807,1.73797600497073,0.318995199686566,1.13113028151049,0.118021510216711,-0.332704205017834,0.139940733895169,0.324757896441424,-0.180769130367976,0.177810382911191,0.661555355551591,99.9,1
2774,125612.0,1.88961791435199,1.07309853428207,-1.67801752213825,4.17326819444992,1.01551580609762,-0.0093890345376856,-0.0797056036973578,0.0640708218352963,-0.714516675807338,0.0422275201898101,-0.408402781057003,-0.929370065771482,0.0586863166856154,-3.51284546122181,-0.164612974126633,2.06985302474878,1.7333815808837,1.58075796212324,-2.33518537609962,-0.15357026465285,0.203727978494943,0.733795720552592,-0.0365597489616082,0.334305770703597,0.147171035637962,0.279556488222951,0.0316687807243937,0.0358833226413502,3.22,1
20358,156203.0,-0.120567349260843,0.781075144636935,0.353512651794392,-0.327065101251097,0.453336419627016,-1.03493213334555,0.948015624010477,-0.261118080221765,-0.0978694281527596,-0.359469810355332,-1.13663562946975,-0.365630663769188,-0.739200617037123,0.349003827729727,-0.0867767716201846,-0.28520024330138,-0.210499606963811,-0.536363515752044,0.527289079505221,-0.187481475726009,-0.150502397289472,-0.41096846105712,0.0892027989130147,-0.0354349870106475,-1.06971561552202,0.130079025514102,0.0384079590164399,0.204430896423086,8.99,0
12750,52932.0,-0.488994309798547,1.42772681586484,0.952480893311518,1.58561816624081,1.1388821060766,-0.034326446198104,1.08059016129025,-0.0713387429895577,-1.84843354003988,0.564740678507485,0.467601429967724,0.2479116079333,0.341465448241459,0.454586653587251,-0.693128847821923,0.587678359184006,-0.986505793574728,0.329956661215599,-0.170929597271136,-0.0717488094553109,0.0905090930668427,0.140876597929837,-0.382682726543161,-0.350600964505976,0.322575499856966,0.0385393374319705,-0.116054289322717,0.0292279286831391,2.82,0
167342,125890.0,1.79807087834827,0.250201347097194,-2.96579072698719,2.6416479876721,3.32564755052561,3.69526720676076,0.327103302539565,0.684736169469469,-1.68932784882774,1.56303669064368,-0.286735981499097,-0.372448532075874,-0.263568926244185,0.944778476515623,-0.22939344449141,0.470269303759616,-0.821525648298802,-0.743085922600115,-1.66515147267124,-0.0439017847166626,0.145562566017883,0.0816301441713806,0.0142825946289515,0.686716315862083,0.283087621796978,0.0855673157657774,-0.0790189636128188,-0.0544478265404362,96.75,0
6262,139941.0,-0.707073247269173,-1.00640921692678,1.42835634413605,-0.104903781569305,-1.5639264601458,1.102692676205,1.29571287338815,-0.243466443465513,-1.66811564322402,0.454625387820519,0.916844528862146,-0.0531269950218885,1.02153915888031,-0.583983338823379,0.217209991076332,0.0338308120608493,0.896459180491586,-0.722045802920875,4.07165411601205,1.51335375462325,0.0385088119943467,-0.345359153979896,0.732629702436482,-0.359640588860995,0.128937801276931,-0.043843767465418,-0.186727719549909,-0.119722060541599,420.09,0
